epoch,train loss,train dice,train bce,valid loss,valid dice,valid bce
1,1.621,0.998,0.562,1.573,0.996,0.578
2,1.521,1.0,0.421,1.38,1.0,0.38
3,1.192,1.0,0.067,1.076,1.0,0.076
4,1.04,0.997,0.018,1.025,0.999,0.026
5,1.013,0.986,0.009,0.994,0.978,0.016
6,0.956,0.884,0.012,0.974,0.958,0.016
7,0.938,0.775,0.006,0.875,0.861,0.014
8,0.867,0.836,0.015,0.817,0.799,0.018
9,0.84,0.844,0.026,0.931,0.888,0.043
10,0.893,0.882,0.031,0.885,0.845,0.04
11,0.873,0.751,0.028,0.853,0.828,0.025
12,0.848,0.946,0.023,0.826,0.803,0.023
13,0.832,0.854,0.018,0.783,0.761,0.022
14,0.826,0.857,0.021,0.768,0.742,0.026
15,0.819,0.827,0.043,0.768,0.744,0.025
16,0.823,0.865,0.038,0.769,0.745,0.023
17,0.811,0.8,0.009,0.806,0.78,0.026
18,0.841,0.892,0.026,0.752,0.73,0.023
19,0.811,0.794,0.02,0.757,0.735,0.021
20,0.808,0.779,0.03,0.747,0.726,0.021
21,0.795,0.787,0.013,0.763,0.737,0.025
22,0.81,0.65,0.017,0.843,0.813,0.03
23,0.87,0.951,0.027,0.75,0.731,0.019
24,0.808,0.863,0.016,0.76,0.74,0.02
25,0.791,0.988,0.016,0.716,0.694,0.022
26,0.778,0.59,0.032,0.743,0.721,0.021
27,0.761,0.768,0.025,0.696,0.677,0.019
28,0.751,0.843,0.016,0.775,0.753,0.021
29,0.762,0.67,0.028,0.658,0.636,0.022
30,0.741,0.509,0.016,0.68,0.658,0.022
31,0.75,0.72,0.026,0.655,0.638,0.016
32,0.725,0.573,0.013,0.686,0.658,0.027
33,0.747,0.74,0.018,0.609,0.59,0.019
34,0.701,0.841,0.016,0.621,0.603,0.018
35,0.681,0.635,0.021,0.61,0.592,0.018
36,0.668,0.653,0.013,0.793,0.765,0.028
37,0.745,0.597,0.007,0.6,0.58,0.019
38,0.676,0.743,0.027,0.681,0.653,0.029
39,0.697,0.614,0.028,0.61,0.591,0.018
40,0.674,0.599,0.017,0.57,0.551,0.019
41,0.635,0.625,0.01,0.553,0.535,0.018
42,0.618,0.567,0.021,0.579,0.558,0.021
43,0.601,0.758,0.013,0.596,0.572,0.024
44,0.626,0.599,0.015,0.569,0.552,0.018
45,0.603,0.579,0.031,0.541,0.523,0.018
46,0.574,0.568,0.012,0.521,0.505,0.017
47,0.562,0.814,0.04,0.535,0.517,0.018
48,0.554,0.593,0.01,0.525,0.509,0.016
49,0.567,0.533,0.021,0.503,0.484,0.019
50,0.546,0.422,0.021,0.501,0.483,0.018
51,0.553,0.422,0.012,0.485,0.466,0.018
52,0.556,0.692,0.024,0.483,0.466,0.017
53,0.54,0.788,0.025,0.482,0.467,0.015
54,0.513,0.662,0.008,0.477,0.459,0.017
55,0.545,0.867,0.02,0.53,0.514,0.016
56,0.565,0.685,0.03,0.498,0.478,0.02
57,0.532,0.426,0.011,0.504,0.486,0.018
58,0.526,0.385,0.019,0.447,0.433,0.014
59,0.508,0.365,0.023,0.486,0.466,0.02
60,0.512,0.721,0.017,0.472,0.454,0.017
61,0.501,0.505,0.02,0.471,0.453,0.018
62,0.509,0.538,0.009,0.452,0.436,0.016
63,0.492,0.399,0.014,0.455,0.44,0.014
64,0.492,0.34,0.017,0.419,0.406,0.013
65,0.468,0.544,0.01,0.419,0.405,0.014
66,0.472,0.763,0.023,0.439,0.425,0.014
67,0.476,0.561,0.02,0.436,0.423,0.013
68,0.503,0.519,0.008,0.438,0.425,0.013
69,0.484,0.644,0.009,0.464,0.445,0.019
70,0.536,0.689,0.021,0.458,0.442,0.016
71,0.512,0.735,0.022,0.453,0.438,0.014
72,0.494,0.456,0.011,0.429,0.415,0.014
73,0.475,0.741,0.007,0.438,0.42,0.018
74,0.467,0.286,0.011,0.412,0.399,0.013
75,0.458,0.402,0.017,0.42,0.405,0.015
76,0.46,0.436,0.011,0.4,0.387,0.012
77,0.443,0.602,0.02,0.413,0.399,0.014
78,0.461,0.42,0.021,0.424,0.409,0.015
79,0.451,0.47,0.015,0.428,0.414,0.014
80,0.442,0.293,0.009,0.405,0.394,0.011
81,0.451,0.784,0.012,0.43,0.416,0.014
82,0.473,0.383,0.011,0.438,0.425,0.013
83,0.498,0.454,0.006,0.418,0.397,0.021
84,0.467,0.265,0.023,0.408,0.391,0.017
85,0.459,0.458,0.013,0.39,0.373,0.017
86,0.46,0.665,0.02,0.402,0.388,0.014
87,0.44,0.398,0.014,0.387,0.374,0.013
88,0.44,0.848,0.009,0.382,0.369,0.013
89,0.424,0.488,0.007,0.375,0.364,0.011
90,0.438,0.434,0.009,0.378,0.367,0.011
91,0.427,0.416,0.021,0.379,0.366,0.013
92,0.428,0.439,0.006,0.383,0.372,0.011
93,0.43,0.481,0.009,0.37,0.358,0.012
94,0.424,0.436,0.013,0.362,0.351,0.012
95,0.427,0.5,0.009,0.384,0.372,0.012
96,0.434,0.483,0.006,0.365,0.354,0.011
97,0.424,0.396,0.011,0.369,0.358,0.011
98,0.421,0.295,0.006,0.363,0.352,0.011
99,0.433,0.338,0.015,0.394,0.383,0.011
100,0.432,0.479,0.018,0.375,0.365,0.011
101,0.418,0.359,0.007,0.365,0.354,0.011
102,0.406,0.568,0.008,0.382,0.37,0.012
103,0.431,0.398,0.017,0.349,0.338,0.011
104,0.398,0.404,0.006,0.337,0.327,0.01
105,0.413,0.595,0.004,0.365,0.354,0.011
106,0.42,0.417,0.012,0.362,0.351,0.011
107,0.411,0.482,0.005,0.357,0.347,0.011
108,0.399,0.522,0.02,0.338,0.327,0.01
109,0.402,0.229,0.009,0.347,0.337,0.01
110,0.397,0.588,0.017,0.334,0.324,0.01
111,0.402,0.358,0.014,0.361,0.349,0.012
112,0.398,0.358,0.012,0.332,0.321,0.01
113,0.395,0.293,0.011,0.349,0.339,0.01
114,0.394,0.474,0.012,0.337,0.325,0.011
115,0.395,0.214,0.013,0.322,0.313,0.009
116,0.384,0.351,0.012,0.325,0.316,0.009
117,0.381,0.64,0.008,0.318,0.308,0.01
118,0.377,0.423,0.02,0.316,0.306,0.01
119,0.373,0.292,0.01,0.315,0.306,0.009
120,0.371,0.306,0.008,0.327,0.315,0.011
121,0.383,0.289,0.006,0.325,0.316,0.01
122,0.399,0.391,0.008,0.324,0.314,0.01
123,0.385,0.316,0.01,0.335,0.325,0.01
124,0.392,0.533,0.015,0.318,0.308,0.01
125,0.38,0.466,0.009,0.312,0.302,0.01
126,0.373,0.279,0.005,0.316,0.307,0.01
127,0.365,0.348,0.007,0.322,0.311,0.01
128,0.364,0.287,0.005,0.324,0.314,0.01
129,0.383,0.548,0.017,0.382,0.37,0.013
130,0.457,0.513,0.01,0.407,0.391,0.016
131,0.427,0.674,0.006,0.41,0.394,0.016
132,0.459,0.622,0.01,0.403,0.392,0.01
133,0.455,0.554,0.013,0.415,0.401,0.014
134,0.419,0.38,0.012,0.349,0.338,0.01
135,0.398,0.617,0.015,0.355,0.345,0.01
